CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Timestamp,Hour,DayOfWeek,Month,IsWeekend,NOx_NO2_Ratio,Temp_Humidity,CO_Lag1
2.7,1280.0,122.0,9.6,964.0,193.0,963.0,113.0,1544.0,1285.0,9.5,64.1,0.7597,2004-03-13 00:00:00,0.0,5.0,3.0,1,1.707964450622615,608.9499999999999,5.4
1.9,1196.0,67.0,7.4,873.0,139.0,1071.0,97.0,1463.0,1144.0,9.1,63.9,0.7423,2004-03-13 01:00:00,1.0,5.0,3.0,1,1.4329895429907686,581.49,2.7
1.6,1184.0,43.0,5.4,782.0,83.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256,2004-03-13 02:00:00,2.0,5.0,3.0,1,1.012194998512805,562.32,1.9
1.7,1172.0,46.0,5.4,783.0,96.0,1179.0,82.5,1380.0,996.0,7.8,67.5,0.7173,2004-03-13 03:00:00,3.0,5.0,3.0,1,1.1636362225895487,526.5,1.6
1.35,1147.0,56.0,6.2,821.0,109.0,1132.0,83.0,1412.0,992.0,7.0,71.1,0.7158,2004-03-13 04:00:00,4.0,5.0,3.0,1,1.3132528538249573,497.69999999999993,1.7
1.0,978.0,30.0,2.6,625.0,62.0,1420.0,65.0,1274.0,819.0,8.3,63.6,0.6982,2004-03-13 05:00:00,5.0,5.0,3.0,1,0.9538460071006143,527.8800000000001,1.35
1.2,1100.0,27.0,2.9,646.0,53.0,1406.0,60.0,1268.0,835.0,7.2,67.5,0.6887,2004-03-13 06:00:00,6.0,5.0,3.0,1,0.8833331861111356,486.0,1.0
1.5,1112.0,47.0,5.1,770.0,139.0,1228.0,77.0,1409.0,940.0,6.3,71.9,0.6932,2004-03-13 07:00:00,7.0,5.0,3.0,1,1.8051945707539518,452.97,1.2
2.7,1336.0,132.0,11.8,1043.0,256.0,935.0,96.0,1678.0,1192.0,6.5,71.6,0.6945,2004-03-13 08:00:00,8.0,5.0,3.0,1,2.6666663888889177,465.4,1.5
3.7,1408.0,239.0,15.1,1153.0,295.0,830.0,119.0,1777.0,1411.0,9.6,59.7,0.7124,2004-03-13 09:00:00,9.0,5.0,3.0,1,2.4789913883200514,573.12,2.7
3.2,1447.0,160.0,12.9,1081.0,250.0,869.0,126.0,1667.0,1465.0,12.4,51.2,0.7335,2004-03-13 10:00:00,10.0,5.0,3.0,1,1.984126826656601,634.8800000000001,3.7
4.1,1542.0,283.0,16.1,1184.0,296.0,808.0,158.0,1780.0,1583.0,15.6,42.2,0.7451,2004-03-13 11:00:00,11.0,5.0,3.0,1,1.873417602948253,658.32,3.2
3.6,1451.0,210.0,14.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709,2004-03-13 12:00:00,12.0,5.0,3.0,1,1.4844719574862137,621.9199999999998,4.1
2.8,1328.0,154.0,12.3,1059.0,153.0,987.0,124.0,1600.0,1101.0,19.4,31.3,0.695,2004-03-13 13:00:00,13.0,5.0,3.0,1,1.2338708682362203,607.2199999999999,3.6
2.0,1207.0,112.0,8.6,924.0,118.0,1088.0,102.0,1488.0,850.0,18.0,34.8,0.7127,2004-03-13 14:00:00,14.0,5.0,3.0,1,1.156862631680134,626.4,2.8
2.0,1240.0,108.0,9.2,947.0,119.0,1049.0,116.0,1532.0,947.0,18.4,33.6,0.7042,2004-03-13 15:00:00,15.0,5.0,3.0,1,1.0258619805291396,618.24,2.0
2.5,1306.0,111.0,10.2,987.0,138.0,1004.0,124.0,1554.0,1078.0,17.6,35.1,0.7012,2004-03-13 16:00:00,16.0,5.0,3.0,1,1.1129031360561987,617.7600000000001,2.0
2.3,1326.0,97.0,10.6,1000.0,148.0,976.0,125.0,1602.0,1084.0,16.7,37.8,0.7117,2004-03-13 17:00:00,17.0,5.0,3.0,1,1.1839999052800076,631.2599999999999,2.5
3.2,1473.0,191.0,15.5,1163.0,227.0,831.0,148.0,1779.0,1395.0,16.1,41.0,0.7451,2004-03-13 18:00:00,18.0,5.0,3.0,1,1.5337836801497513,660.1,2.3
4.2,1609.0,258.0,19.6,1286.0,277.0,758.0,165.0,1922.0,1612.0,15.8,42.4,0.7569,2004-03-13 19:00:00,19.0,5.0,3.0,1,1.678787777043165,669.92,3.2
4.2,1611.0,284.0,19.2,1274.0,279.0,754.0,161.0,1915.0,1697.0,15.7,44.1,0.7786,2004-03-13 20:00:00,20.0,5.0,3.0,1,1.7329191470236553,692.37,4.2
4.2,1621.0,269.0,18.3,1247.0,283.0,762.0,159.0,1860.0,1886.0,15.3,46.8,0.8091,2004-03-13 21:00:00,21.0,5.0,3.0,1,1.7798741018947106,716.04,4.2
3.1,1444.0,180.0,13.1,1089.0,214.0,844.0,143.0,1748.0,1624.0,14.6,48.6,0.806,2004-03-13 22:00:00,22.0,5.0,3.0,1,1.4965033918529096,709.5600000000001,4.2
2.6,1418.0,116.0,10.9,1010.0,172.0,892.0,130.0,1603.0,1536.0,14.7,49.3,0.8193,2004-03-13 23:00:00,23.0,5.0,3.0,1,1.323076821301783,724.7099999999999,3.1
2.9,1534.0,93.0,11.0,1013.0,190.0,889.0,129.0,1611.0,1535.0,13.9,53.6,0.8498,2004-03-14 00:00:00,0.0,6.0,3.0,1,1.4728681028784416,745.0400000000001,2.6
2.8,1484.0,131.0,11.9,1045.0,174.0,880.0,119.0,1624.0,1530.0,14.6,51.5,0.8536,2004-03-14 01:00:00,1.0,6.0,3.0,1,1.4621847510769117,751.9,2.9
2.5,1367.0,92.0,8.6,925.0,128.0,953.0,104.0,1543.0,1337.0,12.5,58.9,0.8537,2004-03-14 02:00:00,2.0,6.0,3.0,1,1.230769112426047,736.25,2.8
2.4,1344.0,132.0,9.7,968.0,99.0,921.0,93.0,1620.0,1278.0,11.6,63.4,0.8674,2004-03-14 03:00:00,3.0,6.0,3.0,1,1.0645160145681705,735.4399999999999,2.5
1.7999999999999998,1130.0,56.0,5.2,773.0,70.0,1130.0,82.0,1452.0,1051.0,12.1,61.1,0.8603,2004-03-14 04:00:00,4.0,6.0,3.0,1,0.853658432480679,739.31,2.4
1.2,1062.0,32.0,3.7,691.0,53.0,1272.0,70.0,1377.0,929.0,11.5,63.1,0.8533,2004-03-14 05:00:00,5.0,6.0,3.0,1,0.7571427489796072,725.65,1.7999999999999998
1.0,1076.0,29.0,2.5,618.0,44.0,1395.0,63.0,1333.0,872.0,11.6,62.2,0.8473,2004-03-14 06:00:00,6.0,6.0,3.0,1,0.6984125875535575,721.52,1.2
0.9,1028.0,27.0,2.4,615.0,74.0,1384.0,67.0,1340.0,853.0,10.4,67.6,0.853,2004-03-14 07:00:00,7.0,6.0,3.0,1,1.1044774470929184,703.04,1.0
1.4,1155.0,36.0,4.2,722.0,101.0,1225.0,84.0,1414.0,959.0,11.6,62.7,0.853,2004-03-14 08:00:00,8.0,6.0,3.0,1,1.2023808092403798,727.32,0.9
1.6,1235.0,57.0,6.4,828.0,118.0,1055.0,83.0,1527.0,1093.0,12.4,60.0,0.8627,2004-03-14 09:00:00,9.0,6.0,3.0,1,1.4216865757004125,744.0,1.4
2.2,1332.0,129.0,8.6,923.0,144.0,952.0,98.0,1614.0,1225.0,14.5,53.1,0.8728,2004-03-14 10:00:00,10.0,6.0,3.0,1,1.46938760516453,769.95,1.6
2.8,1445.0,148.0,10.9,1009.0,176.0,878.0,114.0,1696.0,1355.0,16.9,46.1,0.8789,2004-03-14 11:00:00,11.0,6.0,3.0,1,1.5438595136965338,779.0899999999999,2.2
2.8,1416.0,145.0,10.7,1002.0,161.0,907.0,119.0,1677.0,1262.0,19.3,38.3,0.8474,2004-03-14 12:00:00,12.0,6.0,3.0,1,1.3529410627780618,739.1899999999999,2.8
2.0,1281.0,93.0,7.5,880.0,113.0,1084.0,104.0,1525.0,980.0,21.2,31.4,0.7812,2004-03-14 13:00:00,13.0,6.0,3.0,1,1.0865383570636196,665.68,2.8
1.8,1207.0,84.0,7.5,879.0,103.0,1104.0,102.0,1490.0,872.0,21.4,30.2,0.7616,2004-03-14 14:00:00,14.0,6.0,3.0,1,1.0098038225682526,646.28,2.0
1.9,1258.0,99.0,8.2,906.0,112.0,1081.0,107.0,1511.0,900.0,21.9,29.0,0.7525,2004-03-14 15:00:00,15.0,6.0,3.0,1,1.0467288741374883,635.0999999999999,1.8
3.0,1458.0,150.0,11.9,1045.0,170.0,974.0,129.0,1646.0,1099.0,22.2,28.4,0.7516,2004-03-14 16:00:00,16.0,6.0,3.0,1,1.3178293552070266,630.4799999999999,1.9
2.9,1438.0,156.0,12.0,1051.0,180.0,943.0,128.0,1668.0,1206.0,21.3,30.8,0.7696,2004-03-14 17:00:00,17.0,6.0,3.0,1,1.4062498901367273,656.0400000000001,3.0
2.5,1478.0,122.0,12.2,1055.0,160.0,929.0,121.0,1671.0,1262.0,19.7,36.7,0.8307,2004-03-14 18:00:00,18.0,6.0,3.0,1,1.322313940304633,722.99,2.9
4.6,1808.0,262.0,20.6,1312.0,261.0,753.0,157.0,1993.0,1698.0,18.4,41.7,0.8732,2004-03-14 19:00:00,19.0,6.0,3.0,1,1.6624202762789633,767.28,2.5
5.9,1898.0,341.0,23.1,1381.0,325.0,681.0,173.0,2103.0,1905.0,17.6,46.1,0.921,2004-03-14 20:00:00,20.0,6.0,3.0,1,1.8786126081726815,811.3600000000001,4.6
3.4,1560.0,214.0,14.7,1140.0,217.0,784.0,146.0,1818.0,1648.0,16.7,49.6,0.932,2004-03-14 21:00:00,21.0,6.0,3.0,1,1.486301268061557,828.3199999999999,5.9
2.1,1324.0,100.0,9.0,940.0,146.0,924.0,121.0,1587.0,1423.0,16.3,51.0,0.9341,2004-03-14 22:00:00,22.0,6.0,3.0,1,1.2066114705279776,831.3000000000001,3.4
2.2,1349.0,79.0,8.8,933.0,152.0,933.0,119.0,1617.0,1349.0,14.7,55.9,0.9314,2004-03-14 23:00:00,23.0,6.0,3.0,1,1.2773108170327043,821.7299999999999,2.1
1.8,1239.0,66.0,7.4,872.0,104.0,985.0,99.0,1547.0,1250.0,14.8,54.7,0.9164,2004-03-15 00:00:00,0.0,0.0,3.0,0,1.05050494439344,809.5600000000001,2.2
1.8,1239.0,73.0,6.9,853.0,106.0,1010.0,93.0,1543.0,1174.0,14.0,57.0,0.9094,2004-03-15 01:00:00,1.0,0.0,3.0,0,1.139784823679051,798.0,1.8
1.8,1224.0,66.0,7.0,855.0,108.0,998.0,88.0,1566.0,1149.0,13.4,61.3,0.9361,2004-03-15 02:00:00,2.0,0.0,3.0,0,1.227272587809933,821.42,1.8
1.1,1078.0,44.0,4.4,734.0,87.0,1128.0,79.5,1487.0,1021.0,12.6,63.5,0.923,2004-03-15 03:00:00,3.0,0.0,3.0,0,1.094339484988744,800.1,1.8
1.05,1078.0,44.0,4.0,711.0,66.0,1150.0,71.0,1468.0,1013.0,12.3,65.4,0.9351,2004-03-15 04:00:00,4.0,0.0,3.0,0,0.9295773338623473,804.4200000000001,1.1
1.0,1075.0,39.0,3.9,703.0,88.0,1156.0,74.0,1464.0,1010.0,11.9,67.4,0.9375,2004-03-15 05:00:00,5.0,0.0,3.0,0,1.1891890284879691,802.0600000000001,1.05
1.4,1157.0,51.0,6.4,830.0,138.0,1030.0,80.0,1584.0,1083.0,11.4,70.5,0.9475,2004-03-15 06:00:00,6.0,0.0,3.0,0,1.7249997843750269,803.7,1.0
2.2,1314.0,107.0,9.7,966.0,228.0,897.0,89.0,1710.0,1235.0,11.3,70.2,0.9401,2004-03-15 07:00:00,7.0,0.0,3.0,0,2.5617974649665767,793.2600000000001,1.4
5.5,1797.0,336.0,25.9,1451.0,360.0,652.0,114.0,2323.0,1680.0,12.4,63.9,0.917,2004-03-15 08:00:00,8.0,0.0,3.0,0,3.1578944598338192,792.36,2.2
8.1,1961.0,618.0,36.7,1701.0,478.0,537.0,149.0,2665.0,2184.0,14.8,54.3,0.9076,2004-03-15 09:00:00,9.0,0.0,3.0,0,3.208053475969565,803.64,5.5
5.8,1771.0,438.0,26.6,1470.0,394.0,622.0,157.0,2262.0,1973.0,17.4,45.6,0.8993,2004-03-15 10:00:00,10.0,0.0,3.0,0,2.509553980283186,793.4399999999999,8.1
4.2,1564.0,334.0,20.1,1300.0,319.0,710.0,155.0,2029.0,1798.0,19.8,38.5,0.8801,2004-03-15 11:00:00,11.0,0.0,3.0,0,2.058064383350685,762.3000000000001,5.8
3.1,1430.0,221.0,14.1,1120.0,201.0,831.0,134.0,1783.0,1522.0,22.0,34.1,0.8904,2004-03-15 12:00:00,12.0,0.0,3.0,0,1.4999998880597099,750.2,4.2
2.9,1417.0,207.0,14.9,1146.0,171.0,830.0,119.0,1831.0,1404.0,23.3,32.2,0.9096,2004-03-15 13:00:00,13.0,0.0,3.0,0,1.4369746691617924,750.2600000000001,3.1
2.9,1400.0,191.0,15.4,1162.0,159.0,838.0,111.0,1829.0,1263.0,23.9,30.0,0.8757,2004-03-15 14:00:00,14.0,0.0,3.0,0,1.432432303384477,717.0,2.9
2.5,1317.0,185.0,12.1,1053.0,153.0,926.0,104.0,1707.0,1137.0,24.4,28.9,0.8736,2004-03-15 15:00:00,15.0,0.0,3.0,0,1.471153704696759,705.16,2.9
2.3,1318.0,141.0,11.5,1033.0,143.0,950.0,99.0,1675.0,1068.0,24.4,29.4,0.8848,2004-03-15 16:00:00,16.0,0.0,3.0,0,1.44444429854098,717.3599999999999,2.5
2.8,1445.0,214.0,14.8,1141.0,156.0,857.0,110.0,1824.0,1252.0,23.8,31.3,0.9137,2004-03-15 17:00:00,17.0,0.0,3.0,0,1.41818168925621,744.94,2.3
6.1,1917.0,471.0,32.1,1601.0,314.0,631.0,162.0,2447.0,1843.0,22.5,35.4,0.9547,2004-03-15 18:00:00,18.0,0.0,3.0,0,1.9382714852918836,796.5,2.8
8.0,2040.0,685.0,39.2,1754.0,404.0,542.0,187.0,2679.0,2122.0,20.4,42.5,1.0086,2004-03-15 19:00:00,19.0,0.0,3.0,0,2.1604276919557384,866.9999999999999,6.1
6.5,1895.0,538.0,31.0,1573.0,320.0,565.0,165.0,2443.0,1992.0,18.3,52.6,1.0945,2004-03-15 20:00:00,20.0,0.0,3.0,0,1.9393938218549198,962.58,8.0
4.2,1595.0,319.0,19.9,1294.0,256.0,678.0,145.0,2058.0,1707.0,16.7,57.4,1.0786,2004-03-15 21:00:00,21.0,0.0,3.0,0,1.765517119619509,958.5799999999999,6.5
3.2,1439.0,224.0,15.3,1159.0,193.0,764.0,125.0,1856.0,1494.0,15.7,60.2,1.0654,2004-03-15 22:00:00,22.0,0.0,3.0,0,1.5439998764800098,945.14,4.2
1.4,1142.0,67.0,6.9,852.0,89.0,1008.0,101.0,1547.0,1164.0,15.3,61.4,1.058,2004-03-15 23:00:00,23.0,0.0,3.0,0,0.8811880315655414,939.4200000000001,3.2
2.1,1304.0,155.0,11.1,1019.0,127.0,852.0,103.0,1731.0,1272.0,14.1,65.7,1.0494,2004-03-16 00:00:00,0.0,1.0,3.0,0,1.2330095890281951,926.37,1.4
1.2,1074.0,49.0,5.4,784.0,79.0,1098.0,88.0,1483.0,1040.0,14.8,60.6,1.0148,2004-03-16 01:00:00,1.0,1.0,3.0,0,0.8977271707128215,896.8800000000001,2.1
0.8,968.0,29.0,2.8,640.0,43.0,1320.0,61.0,1386.0,867.0,14.8,59.2,0.9879,2004-03-16 02:00:00,2.0,1.0,3.0,0,0.7049179172265709,876.1600000000001,1.2
0.7,929.0,25.0,2.3,608.0,51.0,1376.0,60.0,1364.0,826.0,13.6,62.1,0.9636,2004-03-16 03:00:00,3.0,1.0,3.0,0,0.8499998583333569,844.56,0.8
0.6499999999999999,941.0,25.0,2.6,626.0,59.0,1316.0,59.0,1373.0,840.0,12.3,66.2,0.945,2004-03-16 04:00:00,4.0,1.0,3.0,0,0.9999998305085033,814.2600000000001,0.7
0.6,937.0,17.0,2.0,585.0,38.0,1412.0,52.0,1348.0,793.0,12.8,63.2,0.9283,2004-03-16 05:00:00,5.0,1.0,3.0,0,0.7307690902367133,808.96,0.6499999999999999
0.9,1017.0,27.0,3.5,681.0,82.0,1246.0,64.0,1418.0,870.0,11.2,68.5,0.9081,2004-03-16 06:00:00,6.0,1.0,3.0,0,1.2812497998047188,767.1999999999999,0.6
1.3,1171.0,50.0,5.1,770.0,99.0,1162.0,70.0,1467.0,930.0,11.0,66.5,0.8705,2004-03-16 07:00:00,7.0,1.0,3.0,0,1.4142855122449267,731.5,0.9
3.4,1541.0,218.0,16.2,1185.0,263.0,770.0,97.0,1889.0,1407.0,11.7,63.7,0.8719,2004-03-16 08:00:00,8.0,1.0,3.0,0,2.7113399266659868,745.29,1.3
